"","pvalue","tvalue","logp"
"z288",7.33654844041277e-98,-21.06712344698,223.660470621113
"z289",0.609948603619118,-0.510115429680475,0.494380581726649
"z290",4.80330333533749e-39,-13.0882512133421,88.2315147506895
"z291",0,-65.1856291469615,Inf
"z292",0.721990469723491,0.355777566050707,0.32574334000539
"z293",0,42.5227444683863,Inf
"z294",4.29839641963149e-07,-5.05595023596395,14.65985362348
"z295",1.09245149232067e-32,-11.9193517360506,73.5942987294294
"z296",2.11428201341582e-53,15.4114439385803,121.288294647383
"z297",0,82.4060117891922,Inf
"z298",0,53.4119223494637,Inf
"z299",0.0886325589875173,-1.7025864325205,2.42325600594733
"z300",1.90526199105353e-19,9.02385081117263,43.1044972396522
"z301",0,186.221738408086,Inf
"z302",0,-124.198954521699,Inf
"z303",0,-154.122654660948,Inf
"z304",9.47917633115414e-65,17.0295805290899,147.41893361702
"z305",0,302.760543561923,Inf
"z306",0,92.6474310426056,Inf
"z307",0,-273.283407234513,Inf
"z308",0,-52.229451746008,Inf
"z309",1.81430228324357e-183,29.0763693354416,420.777371041046
"z310",0,-49.8887569100773,Inf
"z311",0,100.411103021347,Inf
"z312",0,-153.762429498059,Inf
"z313",5.79639384797525e-111,-22.4707667465807,253.829709348503
"z314",0,161.881214868388,Inf
"z315",6.26866016992982e-23,-9.86597039551666,51.1238944960594
"z316",2.42144647079634e-10,-6.33352609999478,22.1414858531273
"z317",0,250.760151660001,Inf
"z318",0,-45.6239587696643,Inf
"z319",5.71582369752762e-207,30.9293819867021,474.891875833855
"z320",0,-44.3897272890038,Inf
"z321",0,-51.9773232484779,Inf
"z322",0.00158267796869668,3.15913016624503,6.44863694979731
"z323",0,-192.168809869217,Inf
"z324",0,146.335486131864,Inf
"z325",0,-55.4033835979556,Inf
"z326",0,-108.749000978362,Inf
"z327",7.35141199811162e-26,-10.5237947631058,57.8723200144843
"z328",3.43553451837503e-78,-18.7705505394576,178.367464730542
"z329",0,58.8355959859971,Inf
"z330",6.99770917674327e-36,12.519906727068,80.947480512757
"z331",0,-75.6153407827106,Inf
"z332",2.22712280041851e-28,-11.0586072963775,63.6716720754445
"z333",0,-84.3597860928823,Inf
"z334",0,143.64680744387,Inf
"z335",0,-40.6078946225484,Inf
"z336",1.40726067084642e-103,-21.6903882079335,236.824619550288
"z337",7.95457693432594e-105,-21.8241270066561,239.697687286359
"z338",0,-189.846691699589,Inf
"z339",0,130.819944136782,Inf
"z340",2.90927817077281e-67,-17.3680013757057,153.205296231468
"z341",0,-62.4241756066635,Inf
"z342",3.32229140339757e-05,4.1504738901148,10.3122707383615
"z343",0,-72.9950078841191,Inf
"z344",0,-215.690975658884,Inf
"z345",0,-59.0249542538616,Inf
"z346",1.36443091266558e-293,37.0117871400181,674.346694819349
"z347",1.27575312897601e-09,6.07181378097721,20.4797291433314
"z348",0,461.36593240469,Inf
"z349",0,252.722128356605,Inf
"z350",0,-81.9951284207281,Inf
"z351",7.38821281333164e-11,-6.51433942833035,23.3285501557428
"z352",0.271405528117846,-1.0997721582356,1.30414116289476
"z353",3.97091825666741e-19,8.94288374330369,42.3701194000246
"z354",8.29655178045839e-23,9.83772270399241,50.8436171585205
"z355",3.02273948167585e-16,8.17623754190417,35.7351979545587
"z356",0,-114.851934193783,Inf
"z357",0,-107.910398190737,Inf
"z358",1.63560095145392e-224,32.2472784596044,515.287050539442
"z359",0,211.546677914067,Inf
"z360",0,-164.067226635824,Inf
"z361",5.41039813158515e-18,-8.64895597126063,39.7582089919519
"z362",0,51.152812818094,Inf
"z363",6.36717386436531e-209,-31.078694322628,479.389128727984
"z364",0,-81.7305248087987,Inf
"z365",4.22696195046989e-06,4.60038012708766,12.374027037965
"z366",0,-206.767345276699,Inf
"z367",2.8506752485386e-273,-35.6714275807115,627.558174491845
"z368",2.87927575300375e-98,-21.1119943717715,224.595800325545
"z369",5.29544812123966e-33,11.9798021869816,74.3184604623133
"z370",0,56.2879038967454,Inf
"z371",0.00443455416070343,-2.84547501634758,5.4183281957364
"z372",9.45538803662666e-92,-20.380647000813,209.591243813822
"z373",4.16460162374456e-06,4.60347670624123,12.3888899354808
"z374",4.44329546108748e-150,-26.2326372137706,343.896367627007
"z375",0,59.8582290277063,Inf
"z376",1.73417041690278e-319,-38.6581771703405,733.974115511927
"z377",0,-65.4332194200693,Inf
"z378",0,-243.141754642235,Inf
