Fold,lrt_counts,latent_var,lrt_importance
fold 9,495,z163,Important
fold 0,494,z164,Important
fold 2,492,z164,Important
fold 3,489,z164,Important
fold 4,477,z164,Important
fold 5,485,z164,Important
fold 6,488,z164,Important
fold 7,480,z164,Important
fold 8,484,z164,Important
fold 0,494,z165,Important
fold 2,492,z165,Important
fold 3,489,z165,Important
fold 4,477,z165,Important
fold 5,485,z165,Important
fold 6,488,z165,Important
fold 7,480,z165,Important
fold 8,484,z165,Important
fold 9,495,z165,Important
fold 0,494,z166,Important
fold 1,485,z166,Important
fold 2,492,z166,Important
fold 3,489,z166,Important
fold 4,477,z166,Important
fold 6,488,z166,Important
fold 7,480,z166,Important
fold 8,484,z166,Important
fold 9,495,z166,Important
fold 0,494,z167,Important
fold 1,485,z167,Important
fold 2,492,z167,Important
fold 3,489,z167,Important
fold 4,477,z167,Important
fold 6,488,z167,Important
fold 7,480,z167,Important
fold 8,484,z167,Important
fold 9,495,z167,Important
fold 0,494,z168,Important
fold 1,485,z168,Important
fold 2,492,z168,Important
fold 3,489,z168,Important
fold 4,477,z168,Important
fold 5,485,z168,Important
fold 6,488,z168,Important
fold 7,480,z168,Important
fold 8,484,z168,Important
fold 9,495,z168,Important
fold 1,485,z169,Important
fold 2,492,z169,Important
fold 3,489,z169,Important
fold 4,477,z169,Important
fold 5,485,z169,Important
fold 7,480,z169,Important
fold 8,484,z169,Important
fold 9,495,z169,Important
fold 0,494,z17,Important
fold 1,485,z17,Important
fold 2,492,z17,Important
fold 3,489,z17,Important
fold 4,477,z17,Important
fold 5,485,z17,Important
fold 6,488,z17,Important
fold 7,480,z17,Important
fold 8,484,z17,Important
fold 9,495,z17,Important
fold 0,494,z170,Important
fold 1,485,z170,Important
fold 2,492,z170,Important
fold 3,489,z170,Important
fold 4,477,z170,Important
fold 5,485,z170,Important
fold 6,488,z170,Important
fold 7,480,z170,Important
fold 8,484,z170,Important
fold 9,495,z170,Important
fold 0,494,z171,Important
fold 1,485,z171,Important
fold 2,492,z171,Important
