"","SKBR3","NCIH1975","HT29","MCF7","NCIH508","A549","HA1E","NCIH2073","PC3","NCIH596","U2OS","HEPG2","A375","HCC515","VCAP"
"ARL4C",2.23572705983806,5.11935617703968,0.344828496997441,1.77399632511117,1.46466826700344,4.82323984413102,5.57198012018773,2.73552217729654,3.42223300068305,4.38887833881199,5.71121955689433,0.16349873228288,3.04264433740849,4.31034012061215,1.25096157353322
"TRAP1",7.12866458654003,7.20877084844755,7.61404722996419,7.00157708538953,6.49825086752783,6.83731255552431,6.08448952493625,5.82349462471286,6.01680828768655,6.66533591718518,6.57364718749332,7.0961353249095,6.94965165119522,5.75087443965685,6.5478199565777
"G3BP1",8.05202456048283,8.38223493275113,7.7775512222878,7.22853012262995,6.96889714526993,8.56563525324026,8.23969398978253,7.36168064426236,7.29563120039578,7.8949996041637,8.63589946594638,7.33860269035263,8.8870377914192,6.71355835640479,8.09666245233723
"MBNL2",4.3547342399706,4.54349588342577,4.47183776242229,2.84197311892718,4.27649666564036,3.8923910259134,4.85249829878989,3.1586601753465,2.77399632511117,4.95559179175399,3.78868571061353,3.79389588254888,4.54101915313356,3.50080205305716,2.32481060342048
"CEBPZ",5.29130885982897,5.45516280124451,5.64125699872677,4.96486066424585,5.05484847699562,6.3741700760685,5.97269265400426,5.07681559705083,4.86046625851717,5.32589006103978,5.28725064325462,4.97682185236069,6.20574438506276,5.28688114778816,5.28651155766423
"SLC25A13",5.37225564844579,5.44890095114513,4.97039353791468,4.36667191611176,4.65935375917005,5.11727946005392,4.56803210477128,3.10265813136374,3.95884267524324,3.73226919950145,5.38681094647222,5.10433665981474,4.70099449416827,4.67581593117227,5.24716800037477
"SORBS3",3.21878116778407,4.86789646399265,2.74416109557041,2.41683974191283,4.92789645372882,5.58345891013077,6.42710328715284,4.75915583380027,5.5438051759644,5.38543103719352,6.25474519762921,6.04701481951759,5.03121873061072,2.01435529297707,4.02059109477325
"RBM6",4.88947354253111,5.57167680997093,5.02236781302845,5.14241343787374,6.11727946005392,4.41074812818595,5.33091687811462,4.30158764660319,5.80348537559595,5.52544250601812,6.05267672430358,5.37051305246041,5.82222027162153,5.35438163211332,5.95233356636969
"TXNDC9",4.8414699994658,5.31650781910311,5.32840565895857,5.15340002773506,4.66106547980695,6.0658738467689,5.95303237725324,4.66505161428921,5.14934066928622,5.36981542428391,5.57742882803575,5.00180224263399,5.34056226902641,5.63633460244218,4.83035674741922
"TRIM13",3.34198574722862,2.71808758396052,3.49569516262407,2.68929916053589,4.26978123827438,3.87676249078156,4.03474394932473,2.21412480535285,3.38681094647222,3.1554254317472,3.854993016757,3.39506279951758,4.39917109381982,3.79805051476751,4.40667271575583
"TRIB1",3.39643353125099,3.41683974191283,6.04330075436418,3.4867143730307,4.15218341905505,3.16832111573972,2.98732086592925,4.77978500530113,4.34837407519116,7.67891698667984,2.64385618977472,4.17951105027151,3.84096670448742,2.56071495447448,7.4638512926111
"MFSD10",5.33306587807636,4.9546616208379,7.0092127868052,6.1876489953106,5.71397069243605,5.21916852046216,6.57939137064274,4.32409051603798,5.35966172233388,6.46727948045998,5.50589092972996,4.7457751494858,5.80374366850523,5.98936611402606,5.43895814789755
"SLC35B1",5.01836711554312,5.83137058796754,5.68425770505893,7.33592624092836,5.93757979967966,6.94649694120329,5.52888382727464,7.85810536002924,7.27547271841218,5.61412086878925,6.02170180007169,6.00943675560809,5.86294724802092,6.84159579578108,6.23266075679027
"TIMM17B",6.01189812036949,6.17871464117544,6.3110671022556,6.43128865429159,5.65306001710456,5.99412711400313,5.56955185108361,4.88068552526112,6.04614178164472,6.41920177384876,6.58526303088387,5.88337643667284,6.24412594328373,6.60184505651104,5.02369891726641
"AKAP8",4.16671544496642,4.15461561132689,3.95046841415012,4.17312743348066,3.94016675048282,3.611172380044,3.88557436437143,3.40463068421761,3.92884403671257,4.30597052098439,3.9560566524124,3.83693401132109,4.64961545906341,3.44095219802964,4.4937754084607
"STUB1",6.67722632823532,6.95338165580255,6.72150937542489,6.97441458980553,6.10768786931437,5.70182625841205,6.27575204882853,5.82781902461732,6.29664094468348,6.98902544063138,6.71232064074163,5.51001246544851,6.77505054148317,5.72873684336602,6.39951292418296
"NET1",5.87700799321402,4.89287670006069,5.75622271284729,6.13709360897494,5.75194568161502,5.42122329922514,5.69710657447698,3.58736499093646,5.34908214639109,5.24944534108584,4.5933537709803,5.27835652801072,5.10433665981474,3.93168305705981,6.91157175172643
"SMNDC1",3.68929916053589,4.77925972037238,4.30451104180995,4.32481060342048,3.95140129167431,4.78868571061353,5.14689956034359,3.67694435910691,3.57773093149008,4.72191944555154,4.9429835981871,3.80322703643493,4.50207595604579,4.26903314645524,3.96901230751632
"PAK4",6.5713734359732,4.0232553523003,6.35878304818473,6.79947591080117,4.56620629346551,5.21684284283726,4.96486066424585,5.77768271707355,4.06781078378962,5.0071955014042,6.02258974904011,5.26002565596146,5.55458885167764,5.12018602753186,6.97556140627362
"TNIP1",6.28669636456141,5.40190347160796,5.77952238674377,4.81044310384518,5.40701277351601,5.70514852825302,7.51159454153741,4.95698592461258,4.97727992349992,6.08512718021332,5.32012359804061,5.10936055940423,4.92742242873987,5.36737106564853,5.17312743348066
"IKZF1",0.0840642647884745,0.01435529297707,0.0285691521967709,0.01435529297707,0.0426443374084937,0.0285691521967709,0,0.0976107966264223,0.01435529297707,0.137503523749935,0.263034405833794,0.01435529297707,0.0285691521967709,0,0.27500704749987
"RXYLT1",3.3547342399706,4.72027846523333,3.46074256378964,4.30669970727279,3.99638874644762,5.41683974191283,3.70929063572336,5.05614996110814,3.92789645372882,3.45811948117451,4.38612115681485,3.60050764534579,4.43562859405209,4.50652577904312,5.06522762277562
"HMG20B",7.45038647903429,6.51711818515321,6.04001567884788,6.43462822763672,5.36001304220433,4.27649666564036,6.25663329505992,5.94392132655349,5.59454854955035,6.14893410452634,6.5882648943075,4.81301154860562,6.55658268982325,5.39471991299406,5.63575439127776
"MYL9",2.94110631094643,6.01122725542325,0.773996325111173,0.070389327891398,1.42223300068305,3.90785207184596,9.21281249106699,6.20750245925879,4.38956681176273,3.97819562968165,7.34589308568741,1.96716860753263,2.37295209791183,6.24678809384436,1.17632277264046
"LYPLA1",5.53574194107511,5.60644222813161,5.91647664443772,6.18626283566979,5.22265002245148,6.33503298658685,5.93239194006853,5.91886323727459,3.83187724119167,5.50842865253186,5.30305008468167,5.45187047886432,5.94602898951548,5.68873986801449,6.49313492230551
"PPIE",5.06263982828646,5.60644222813161,5.80141736586591,5.55704241526372,5.1197711619529,5.58976348698498,6.05224198118114,5.54565954002547,5.71863561627134,6.05853297020161,6.06802583857736,3.81557542886257,6.56529252058102,6.2553118863596,5.43429461795993
"VAV3",2.62993940943954,1.88362081628567,0.454175893185802,4.10685079645022,5.15340002773506,2.64846544302731,0,0.298658315564515,0.485426827170242,3.70708299177171,0.0976107966264223,3.73226919950145,0.871843648509318,4.2861418728343,1.40599235967584
"LRRC41",5.08363887925071,4.63110428236588,3.92694824794977,4.51096191927738,3.91552090075196,4.5385381636298,5.4326254114323,4.81659970653491,4.25171909260596,5.18030701996943,4.81813476081085,5.06436554026363,5.50112063427539,5.30669970727279,5.77952238674377
"CRTAP",6.16249203693753,7.49984588708321,3.44757919654888,5.21179097625254,5.43829285157915,7.22515922577737,7.93132848489379,5.55826763405574,7.07221301223991,7.32669912454779,7.17192735435346,6.01858966780594,6.85349670370232,6.55933884760654,5.7457751494858
"VAT1",3.99276843076892,6.91659606789219,5.30158764660319,5.70873904135958,4.84549005094437,6.14751022492028,7.35983739296312,5.47411151394241,5.36352154354655,5.52919626799939,6.62512434187511,6.42155994490182,6.32246900411355,5.00539998774259,4.17632277264046
"STK25",5.80477637795583,6.58901438522824,6.86158323180777,6.76234881564413,6.61691636257881,6.05354581772798,7.16681585176195,4.81608765860021,6.47945693479402,6.34394073926782,7.13473433610102,7.48920572792482,5.9609286673117,6.31741261376487,6.90279715788023
"APPBP2",2.08065766334523,3.96347412397489,3.13093086982645,7.43987242967666,3.1811025507538,4.0241423458978,4.40122086216022,3.14730669878029,3.47248777146274,4.38266725274504,5.38715571766298,3.51222688651396,3.63807383718072,3.93262815702213,3.98002530023873
"CHERP",4.61353165291793,4.87085786436376,4.72628628972067,5.11852584893567,4.33413917883824,3.64500988439109,4.75007048586569,4.05398016818765,4.17072627613155,5,4.65133876610593,4.96947286459633,5.84599177066457,4.73768676140986,5.83364912759498
"HYOU1",7.07006726180213,6.27426166125705,6.61867915075156,7.10118781525974,6.29920801838728,5.01346225980656,6.40122086216022,7.33333427813435,6.61353165291793,7.29764998274399,6.44261180368934,6.71177020386319,7.22766407255439,6.32246900411355,6.97808119818916
"RPP38",4.43028527297778,4.36036427654347,4.43229133824778,4.32409051603798,3.96069703930431,4.62702310555406,4.37920505996061,3.35895882583233,3.39094277280254,3.69265037003553,4.30888505741176,3.4369613378336,3.62058641045188,4.01077983875324,3.58616424593091
"SLC35A1",4.9217219470096,4.25323293853803,5.00495075995105,4.68481873755322,4.64038956005495,3.77505054148317,4.29278174922785,3.24640808724638,3.38404980679516,3.71149490665009,3.09592441999854,3.55090066464752,3.54966917072649,3.87970576628229,4.25398926623079
